DataStructure,N,Run,InsertionTime_us,Height,AvgSearchTime_ns
BST,1024,1,140,19,0
AVL,1024,1,181,12,0
Treap,1024,1,173,27,0
SkipList_p05,1024,1,331,11,0
SkipList_p025,1024,1,310,5,0
SkipList_p075,1024,1,381,24,0
BST,1024,2,108,23,0
AVL,1024,2,107,12,0
Treap,1024,2,117,22,0
SkipList_p05,1024,2,212,11,0
SkipList_p025,1024,2,175,5,0
SkipList_p075,1024,2,294,24,0
BST,1024,3,85,21,0
AVL,1024,3,99,12,0
Treap,1024,3,114,21,0
SkipList_p05,1024,3,195,14,0
SkipList_p025,1024,3,369,6,0
SkipList_p075,1024,3,563,23,0
BST,1024,4,80,21,0
AVL,1024,4,104,12,0
Treap,1024,4,130,23,0
SkipList_p05,1024,4,210,14,0
SkipList_p025,1024,4,184,7,0
SkipList_p075,1024,4,261,23,0
BST,1024,5,81,21,0
AVL,1024,5,104,12,0
Treap,1024,5,120,20,0
SkipList_p05,1024,5,206,11,0
SkipList_p025,1024,5,190,6,0
SkipList_p075,1024,5,258,25,0
BST,1024,6,79,19,0
AVL,1024,6,173,12,0
Treap,1024,6,119,22,0
SkipList_p05,1024,6,209,10,0
SkipList_p025,1024,6,185,8,0
SkipList_p075,1024,6,273,28,0
BST,1024,7,82,20,0
AVL,1024,7,109,12,0
Treap,1024,7,118,22,0
SkipList_p05,1024,7,208,12,0
SkipList_p025,1024,7,183,6,0
SkipList_p075,1024,7,252,23,0
BST,1024,8,86,21,0
AVL,1024,8,104,12,0
Treap,1024,8,126,25,0
SkipList_p05,1024,8,206,11,0
SkipList_p025,1024,8,180,6,0
SkipList_p075,1024,8,258,29,0
BST,1024,9,132,22,0
AVL,1024,9,180,12,0
Treap,1024,9,159,19,0
SkipList_p05,1024,9,222,12,0
SkipList_p025,1024,9,177,6,0
SkipList_p075,1024,9,283,27,0
BST,1024,10,84,22,0
AVL,1024,10,103,12,0
Treap,1024,10,126,21,0
SkipList_p05,1024,10,219,10,0
SkipList_p025,1024,10,181,6,0
SkipList_p075,1024,10,264,33,0
BST,2048,1,175,21,0
AVL,2048,1,236,13,0
Treap,2048,1,256,22,0
SkipList_p05,2048,1,512,13,0
SkipList_p025,2048,1,466,7,0
SkipList_p075,2048,1,607,28,0
BST,2048,2,245,25,0
AVL,2048,2,314,13,0
Treap,2048,2,277,25,0
